threshold,precision,recall,f1
0.1,0.2275,1.0,0.37067209775967414
0.11,0.2275,1.0,0.37067209775967414
0.12,0.2275,1.0,0.37067209775967414
0.13,0.2275,1.0,0.37067209775967414
0.14,0.2275,1.0,0.37067209775967414
0.15,0.2275,1.0,0.37067209775967414
0.16,0.2275,1.0,0.37067209775967414
0.17,0.2275,1.0,0.37067209775967414
0.18,0.2275,1.0,0.37067209775967414
0.19,0.2275,1.0,0.37067209775967414
0.2,0.2275,1.0,0.37067209775967414
0.21,0.2268557130942452,0.9963369963369964,0.3695652173913043
0.22,0.2268557130942452,0.9963369963369964,0.3695652173913043
0.23,0.227234753550543,0.9963369963369964,0.37006802721088433
0.24,0.22837951301427373,0.9963369963369964,0.37158469945355194
0.25,0.22792262405382674,0.9926739926739927,0.3707250341997264
0.26,0.2277730736663844,0.9853479853479854,0.3700137551581843
0.27,0.22971818958155424,0.9853479853479854,0.37257617728531855
0.28,0.23209663503019845,0.9853479853479854,0.3756983240223464
0.29,0.23400525854513585,0.978021978021978,0.37765205091937765
0.3,0.23392857142857143,0.9597069597069597,0.37616654702081836
0.31,0.23300090661831369,0.9413919413919414,0.373546511627907
0.32,0.23404255319148937,0.9267399267399268,0.37370753323485967
0.33,0.23882017126546146,0.9194139194139194,0.37915407854984895
0.34,0.24174757281553397,0.9120879120879121,0.3821949347659248
0.35,0.24448897795591182,0.8937728937728938,0.3839496459480724
0.36,0.2479591836734694,0.8901098901098901,0.38786911412609737
0.37,0.25263157894736843,0.8791208791208791,0.39247751430907607
0.38,0.2559652928416486,0.8644688644688645,0.39497907949790795
0.39,0.25875706214689265,0.8388278388278388,0.3955094991364421
0.4,0.2638888888888889,0.8351648351648352,0.40105540897097625
0.41,0.26555023923444976,0.8131868131868132,0.4003606853020739
0.42,0.2692307692307692,0.7948717948717948,0.40222428174235403
0.43,0.27471116816431324,0.7838827838827839,0.4068441064638783
0.44,0.28010825439783493,0.7582417582417582,0.4090909090909091
0.45,0.28125,0.7252747252747253,0.4053224155578301
0.46,0.28335832083958024,0.6923076923076923,0.4021276595744681
0.47,0.2870662460567823,0.6666666666666666,0.4013230429988975
0.48,0.28689883913764513,0.6336996336996337,0.3949771689497717
0.49,0.2887323943661972,0.6007326007326007,0.39001189060642094
0.5,0.2964352720450281,0.5787545787545788,0.3920595533498759
0.51,0.3135245901639344,0.5604395604395604,0.4021024967148489
0.52,0.3184855233853007,0.5238095238095238,0.3961218836565097
0.53,0.32066508313539194,0.4945054945054945,0.38904899135446686
0.54,0.31958762886597936,0.4542124542124542,0.3751891074130106
0.55,0.3268156424581006,0.42857142857142855,0.37083993660855785
0.56,0.32335329341317365,0.3956043956043956,0.35584843492586493
0.57,0.33015873015873015,0.38095238095238093,0.35374149659863946
0.58,0.33448275862068966,0.3553113553113553,0.34458259325044405
0.59,0.34220532319391633,0.32967032967032966,0.3358208955223881
0.6,0.3387096774193548,0.3076923076923077,0.32245681381957775
0.61,0.3561643835616438,0.2857142857142857,0.3170731707317073
0.62,0.390625,0.27472527472527475,0.3225806451612903
0.63,0.40229885057471265,0.2564102564102564,0.3131991051454139
0.64,0.42483660130718953,0.23809523809523808,0.3051643192488263
0.65,0.3939393939393939,0.19047619047619047,0.25679012345679014
0.66,0.415929203539823,0.17216117216117216,0.24352331606217617
0.67,0.37,0.13553113553113552,0.19839142091152814
0.68,0.36904761904761907,0.11355311355311355,0.17366946778711484
0.69,0.4166666666666667,0.10989010989010989,0.17391304347826086
0.7,0.39622641509433965,0.07692307692307693,0.12883435582822086
0.71,0.40540540540540543,0.054945054945054944,0.0967741935483871
0.72,0.46153846153846156,0.04395604395604396,0.0802675585284281
0.73,0.5263157894736842,0.03663003663003663,0.0684931506849315
0.74,0.38461538461538464,0.018315018315018316,0.03496503496503497
0.75,0.4166666666666667,0.018315018315018316,0.03508771929824561
0.76,0.375,0.01098901098901099,0.021352313167259787
0.77,0.2,0.003663003663003663,0.007194244604316547
0.78,0.25,0.003663003663003663,0.007220216606498195
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.82,0.0,0.0,0.0
0.83,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
